day,stockprice,percentreturn,balance,score
29,122.16,2.37%,110.78,-11.38
30,123.78,1.32%,110.78,-13
2,99.52,-0.49%,99.52,0
3,100.2,0.68%,100.2,0
4,98.45,-1.75%,98.45,0
5,97.07,-1.41%,97.07,0
6,98.8,1.78%,98.8,0
7,98,-0.81%,98.8,0.79
8,99.22,1.24%,98.8,-0.43
9,101.33,2.12%,98.8,-2.54
10,103.86,2.49%,98.8,-5.07
11,107.2,3.21%,98.8,-8.41
12,109.94,2.55%,98.8,-11.14
13,108.8,-1.04%,98.8,-10
14,106.41,-2.20%,96.62,-9.79
15,107.11,0.65%,97.25,-9.86
16,109.47,2.20%,97.25,-12.22
17,109.98,0.46%,97.25,-12.74
18,108.37,-1.47%,97.25,-11.13
19,106.5,-1.73%,95.57,-10.94
20,109.05,2.39%,97.85,-11.21
21,109.94,0.81%,97.85,-12.1
22,111.33,1.26%,97.85,-13.49
23,113.93,2.33%,97.85,-16.09
24,115.9,1.72%,97.85,-18.06
25,117.1,1.03%,97.85,-19.25
26,118.39,1.10%,97.85,-20.55
27,120.18,1.51%,97.85,-22.34
28,118.9,-1.07%,97.85,-21.06
29,121.86,2.48%,100.28,-21.58
30,120.53,-1.10%,100.28,-20.25
2,102.23,2.23%,100,-2.24
3,100.29,-1.90%,100,-0.3
4,101.64,1.34%,101.34,-0.3
5,103.43,1.76%,103.12,-0.32
6,101.22,-2.14%,103.12,1.9
7,103.11,1.86%,105.04,1.93
8,104.17,1.02%,105.04,0.87
9,102.04,-2.05%,105.04,3
10,102.13,0.08%,105.13,3
11,102.4,0.26%,105.4,3
12,103.39,0.96%,106.41,3.01
13,106.42,2.93%,109.52,3.09
14,109.73,3.11%,109.52,-0.22
15,112.51,2.53%,109.52,-3
16,112.53,0.01%,109.52,-3.02
17,114.48,1.73%,111.41,-3.08
18,114.03,-0.40%,110.97,-3.07
19,112.89,-1%,109.86,-3.04
20,112.92,0.02%,109.88,-3.05
21,110.39,-2.25%,107.41,-2.99
22,108.03,-2.14%,105.11,-2.93
23,105.46,-2.38%,102.6,-2.86
24,105.61,0.14%,102.74,-2.88
25,106.04,0.40%,102.74,-3.31
26,106.1,0.05%,102.74,-3.36
27,105.51,-0.56%,102.74,-2.78
28,107.9,2.26%,102.74,-5.17
29,107.86,-0.04%,102.74,-5.13
30,110.22,2.18%,102.74,-7.49
2,100.78,0.78%,100.78,0
3,102.24,1.44%,102.24,0
4,99.27,-2.91%,99.27,0
5,97.41,-1.88%,97.41,0
6,98.16,0.76%,98.16,0
7,95.74,-2.47%,98.16,2.42
8,96.4,0.68%,98.83,2.42
9,98.8,2.48%,101.29,2.49
10,100.83,2.05%,101.29,0.46
11,101.6,0.76%,101.29,-0.31
12,103.43,1.80%,101.29,-2.15
13,104.21,0.75%,101.29,-2.92
14,106.36,2.06%,101.29,-5.07
15,105.77,-0.56%,101.29,-4.48
16,107.56,1.69%,103,-4.57
17,109.81,2.09%,105.15,-4.66
18,107.3,-2.29%,105.15,-2.15
19,105.74,-1.46%,103.62,-2.12
20,105.36,-0.36%,103.24,-2.13
21,102.4,-2.81%,100.33,-2.08
22,103.86,1.42%,101.76,-2.1
23,105.46,1.54%,101.76,-3.7
24,106.89,1.35%,101.76,-5.13
25,105.65,-1.17%,101.76,-3.9
26,105.58,-0.07%,101.69,-3.9
27,108.79,3.04%,104.78,-4.02
28,108.55,-0.23%,104.78,-3.77
29,107.55,-0.93%,103.81,-3.74
30,110.2,2.46%,106.36,-3.85
2,101.03,1.03%,100,-1.04
3,98.92,-2.09%,100,1.07
4,100.89,1.99%,101.99,1.09
5,101.64,0.74%,101.99,0.34
6,100.93,-0.70%,101.99,1.05
7,99.16,-1.76%,100.2,1.04
8,102.09,2.95%,103.16,1.06
9,105.4,3.24%,103.16,-2.25
10,107.65,2.13%,103.16,-4.5
11,107.32,-0.31%,103.16,-4.16
12,104.69,-2.46%,100.63,-4.07
13,106.26,1.49%,102.13,-4.14
14,107.54,1.20%,102.13,-5.42
15,109.26,1.59%,102.13,-7.14
16,109.37,0.10%,102.13,-7.25
17,108.92,-0.42%,102.13,-6.8
18,107.03,-1.74%,102.13,-4.91
19,104.56,-2.31%,102.13,-2.44
20,105.6,0.99%,103.14,-2.46
21,106.4,0.75%,103.14,-3.27
22,105.26,-1.08%,103.14,-2.13
23,103.37,-1.80%,101.28,-2.1
24,100.6,-2.68%,98.56,-2.04
25,102.72,2.10%,100.63,-2.1
26,106.06,3.25%,100.63,-5.44
27,104.75,-1.24%,100.63,-4.13
28,101.78,-2.84%,97.77,-4.02
29,100.36,-1.40%,96.4,-3.96
30,103.51,3.13%,99.42,-4.1
2,97.21,-2.80%,100,2.79
3,94.65,-2.64%,97.36,2.7
4,97.56,3.07%,100.35,2.78
5,100.47,2.98%,100.35,-0.13
6,103.66,3.17%,100.35,-3.32
7,105.84,2.10%,100.35,-5.5
8,107,1.09%,100.35,-6.66
9,105.11,-1.77%,100.35,-4.77
10,106.4,1.22%,101.58,-4.83
11,109.19,2.62%,104.24,-4.96
12,108.29,-0.83%,104.24,-4.06
13,111.27,2.75%,107.1,-4.18
14,114.33,2.75%,107.1,-7.24
15,112.38,-1.71%,107.1,-5.29
16,113.43,0.93%,108.1,-5.34
17,113.24,-0.17%,107.91,-5.33
18,111.3,-1.72%,106.06,-5.24
19,112.93,1.46%,107.61,-5.33
20,113.63,0.61%,107.61,-6.02
21,114.19,0.49%,107.61,-6.58
22,113.61,-0.51%,107.61,-6
23,113.03,-0.52%,107.61,-5.43
24,114.27,1.09%,107.61,-6.66
25,112.79,-1.30%,107.61,-5.19
26,111.4,-1.24%,107.61,-3.8
27,109.49,-1.72%,107.61,-1.88
28,109.96,0.42%,107.61,-2.35
29,110.08,0.10%,107.61,-2.47
30,108.08,-1.82%,107.61,-0.47
2,97.38,-2.63%,100,2.62
3,96.27,-1.14%,98.86,2.59
4,93.83,-2.54%,96.35,2.51
5,94.16,0.35%,96.68,2.52
6,92.58,-1.68%,96.68,4.1
7,95.69,3.35%,96.68,0.99
8,97.35,1.73%,96.68,-0.67
9,100.8,3.54%,96.68,-4.12
10,103.98,3.15%,96.68,-7.3
11,104.73,0.72%,96.68,-8.05
12,104.16,-0.55%,96.15,-8.01
13,105.56,1.34%,97.44,-8.13
14,103.3,-2.15%,95.35,-7.96
15,101.34,-1.90%,93.54,-7.8
16,99.29,-2.03%,91.64,-7.66
17,101.91,2.63%,94.05,-7.86
18,101.74,-0.17%,94.05,-7.69
19,101.42,-0.32%,94.05,-7.38
20,100.78,-0.64%,94.05,-6.74
21,99.82,-0.96%,94.05,-5.77
22,98.58,-1.25%,94.05,-4.54
23,98.94,0.36%,94.05,-4.9
24,101.4,2.48%,94.05,-7.36
25,101.22,-0.18%,94.05,-7.18
26,104.4,3.14%,94.05,-10.36
27,105.1,0.67%,94.05,-11.05
28,103.69,-1.35%,94.05,-9.64
29,101.78,-1.85%,92.31,-9.47
30,102.29,0.50%,92.77,-9.53
2,99.98,-0.02%,100,0.01
3,102.19,2.21%,100,-2.19
4,101.07,-1.10%,100,-1.07
5,98.75,-2.30%,97.7,-1.05
6,101.45,2.73%,100.37,-1.08
7,98.95,-2.47%,100.37,1.42
8,96.34,-2.64%,97.72,1.37
9,95.74,-0.63%,97.11,1.37
10,97.18,1.50%,97.11,-0.08
11,95.56,-1.67%,97.11,1.54
12,94.02,-1.62%,95.54,1.52
13,95.26,1.31%,96.8,1.53
14,93.75,-1.59%,96.8,3.04
15,92.35,-1.50%,96.8,4.45
16,93.96,1.74%,96.8,2.84
17,93.11,-0.91%,96.8,3.68
18,92.49,-0.67%,96.8,4.31
19,93.79,1.40%,96.8,3
20,96,2.35%,96.8,0.79
21,94.9,-1.15%,96.8,1.89
22,97.42,2.65%,99.37,1.95
23,99.57,2.20%,99.37,-0.2
24,101.18,1.61%,99.37,-1.82
25,100.84,-0.34%,99.37,-1.47
26,101.48,0.63%,100,-1.49
27,98.62,-2.82%,97.18,-1.44
28,99.73,1.12%,98.27,-1.47
29,102.76,3.03%,98.27,-4.5
30,101.22,-1.50%,98.27,-2.96
2,99.76,-0.24%,100,0.23
3,102.49,2.73%,102.73,0.24
4,100.22,-2.22%,102.73,2.51
5,101.71,1.48%,104.25,2.54
6,99.8,-1.88%,102.29,2.49
7,97.7,-2.11%,100.13,2.42
8,100.52,2.88%,103.02,2.5
9,97.52,-2.99%,103.02,5.5
10,101.01,3.57%,106.7,5.68
11,100.7,-0.31%,106.7,6
12,99.77,-0.93%,106.7,6.93
13,102.25,2.48%,109.35,7.09
14,99.65,-2.55%,109.35,9.69
15,102.62,2.98%,112.6,9.97
16,103.73,1.08%,112.6,8.86
17,105.25,1.46%,112.6,7.34
18,107.54,2.17%,112.6,5.05
19,110.11,2.38%,112.6,2.48
20,107.34,-2.52%,112.6,5.25
21,105.83,-1.41%,111.01,5.18
22,106.84,0.95%,112.06,5.21
23,109.88,2.84%,112.06,2.18
24,108.96,-0.84%,112.06,3.1
25,111.11,1.97%,114.27,3.15
26,111.19,0.07%,114.35,3.15
27,111,-0.18%,114.15,3.15
28,113.88,2.59%,117.11,3.23
29,114.36,0.42%,117.11,2.75
30,113.93,-0.38%,117.11,3.17
2,97.99,-2.02%,100,2.01
3,99.3,1.33%,101.33,2.03
4,102.36,3.08%,101.33,-1.04
5,101.21,-1.13%,101.33,0.12
6,99.05,-2.14%,99.16,0.1
7,96.29,-2.79%,96.39,0.09
8,98.61,2.40%,98.71,0.09
9,98.39,-0.23%,98.71,0.31
10,97.92,-0.48%,98.71,0.78
11,99.19,1.29%,98.71,-0.49
12,99.72,0.53%,98.71,-1.02
13,99.68,-0.05%,98.71,-0.98
14,99.61,-0.08%,98.71,-0.91
15,102.15,2.54%,98.71,-3.45
16,100.54,-1.58%,98.71,-1.84
17,103.88,3.32%,101.98,-1.9
18,102.06,-1.76%,101.98,-0.08
19,103.93,1.83%,103.84,-0.1
20,105.72,1.72%,105.62,-0.1
21,107.79,1.95%,105.62,-2.18
22,108.54,0.69%,105.62,-2.93
23,110.33,1.64%,105.62,-4.71
24,110.17,-0.15%,105.62,-4.55
25,112.78,2.36%,105.62,-7.16
26,115.22,2.16%,105.62,-9.6
27,113.51,-1.49%,105.62,-7.89
28,115.8,2.01%,107.75,-8.05
29,117.68,1.62%,107.75,-9.94
30,118.69,0.85%,107.75,-10.94
2,103.45,3.45%,103.45,0
3,104.16,0.68%,103.45,-0.71
4,104.99,0.79%,103.45,-1.54
5,105.61,0.59%,103.45,-2.16
6,106.34,0.69%,103.45,-2.9
7,106.61,0.25%,103.45,-3.16
8,107.82,1.13%,103.45,-4.37
9,109.04,1.13%,103.45,-5.6
10,110.46,1.30%,103.45,-7.01
11,111.4,0.85%,103.45,-7.96
12,108.5,-2.61%,103.45,-5.05
13,109.46,0.88%,104.36,-5.1
14,109.88,0.38%,104.36,-5.52
15,110.31,0.39%,104.36,-5.96
16,113.04,2.47%,104.36,-8.69
17,114.01,0.85%,104.36,-9.66
18,117.17,2.77%,104.36,-12.82
19,118.76,1.35%,104.36,-14.41
20,118.24,-0.44%,104.36,-13.88
21,119.67,1.20%,105.62,-14.05
22,118.52,-0.97%,104.6,-13.93
23,118.32,-0.17%,104.42,-13.9
24,117.44,-0.75%,103.64,-13.8
25,118.68,1.05%,104.73,-13.96
26,120.02,1.12%,105.91,-14.11
27,119.82,-0.17%,105.73,-14.09
28,120.08,0.21%,105.95,-14.13
29,122.66,2.14%,108.22,-14.44
30,123.13,0.38%,108.22,-14.91
2,100.28,0.28%,100,-0.29
3,100.46,0.17%,100,-0.46
4,99.75,-0.71%,100,0.25
5,101.64,1.89%,100,-1.65
6,104.36,2.67%,100,-4.36
7,103.8,-0.54%,100,-3.8
8,105.46,1.59%,101.59,-3.87
9,108.35,2.74%,104.37,-3.98
10,111.6,2.99%,104.37,-7.23
11,112.75,1.03%,104.37,-8.38
12,115.73,2.64%,107.12,-8.61
13,116.73,0.86%,107.12,-9.61
14,114.07,-2.28%,107.12,-6.95
15,111.88,-1.92%,105.06,-6.82
16,111.69,-0.17%,104.88,-6.82
17,109.01,-2.40%,104.88,-4.14
18,110.41,1.28%,106.22,-4.19
19,112.5,1.89%,106.22,-6.29
20,113.96,1.29%,106.22,-7.74
21,112.86,-0.97%,106.22,-6.64
22,115.04,1.93%,108.27,-6.78
23,117.7,2.31%,108.27,-9.44
24,115.34,-2.01%,108.27,-7.08
25,112.86,-2.16%,105.94,-6.93
26,112.16,-0.63%,105.28,-6.88
27,115.03,2.55%,107.97,-7.07
28,116.24,1.05%,107.97,-8.27
29,117.72,1.27%,107.97,-9.75
30,118.92,1.01%,107.97,-10.96
2,100.82,0.81%,100.82,0
3,101.82,0.99%,101.82,0
4,100.44,-1.36%,100.44,0
5,102.15,1.70%,102.15,0
6,103.33,1.15%,102.15,-1.18
7,100.8,-2.45%,102.15,1.35
8,102.22,1.40%,103.58,1.35
9,105.02,2.73%,103.58,-1.44
10,107.53,2.39%,103.58,-3.96
11,107.47,-0.06%,103.58,-3.9
12,109.16,1.57%,105.2,-3.96
13,107.11,-1.88%,103.22,-3.9
14,108.59,1.38%,104.64,-3.96
15,108.72,0.11%,104.76,-3.96
16,110.36,1.50%,106.34,-4.02
17,107.45,-2.64%,103.53,-3.93
18,110.82,3.13%,106.77,-4.05
19,110.9,0.07%,106.77,-4.14
20,113.3,2.16%,106.77,-6.54
21,116.6,2.91%,106.77,-9.83
22,117.8,1.02%,106.77,-11.03
23,117.51,-0.25%,106.77,-10.75
24,116.33,-1.01%,105.69,-10.64
25,115.3,-0.89%,104.75,-10.55
26,118.43,2.71%,107.59,-10.85
27,116.21,-1.88%,107.59,-8.62
28,116.3,0.07%,107.67,-8.63
29,113.48,-2.43%,105.05,-8.44
30,113.72,0.21%,105.27,-8.46
2,100.39,0.39%,100,-0.4
3,97.87,-2.52%,100,2.12
4,98.31,0.44%,100.44,2.12
5,96.11,-2.24%,98.19,2.07
6,95.7,-0.43%,97.77,2.06
7,98.64,3.07%,100.77,2.12
8,97.09,-1.58%,100.77,3.67
9,97,-0.10%,100.67,3.67
10,99.97,3.06%,103.75,3.78
11,97.86,-2.12%,103.75,5.89
12,100.24,2.43%,106.27,6.03
13,99.13,-1.11%,106.27,7.14
14,99.64,0.51%,106.27,6.62
15,97.29,-2.36%,106.27,8.97
16,98.63,1.37%,107.73,9.1
17,100.1,1.49%,107.73,7.63
18,100.1,0%,107.73,7.63
19,99.22,-0.88%,107.73,8.51
20,101.18,1.97%,107.73,6.54
21,100.49,-0.69%,107.73,7.24
22,98.91,-1.58%,107.73,8.82
23,100.25,1.35%,109.18,8.93
24,98.9,-1.35%,109.18,10.28
25,100.09,1.20%,109.18,9.09
26,100.44,0.34%,109.18,8.74
27,99.76,-0.68%,109.18,9.42
28,101.98,2.22%,109.18,7.2
29,103.74,1.72%,109.18,5.44
30,105.46,1.65%,109.18,3.72
2,102.79,2.79%,102.79,0
3,105.83,2.95%,102.79,-3.04
4,106.79,0.90%,102.79,-4
5,109.47,2.50%,105.36,-4.11
6,106.72,-2.52%,105.36,-1.36
7,107.79,1%,106.41,-1.39
8,109.03,1.15%,107.63,-1.41
9,109.36,0.30%,107.63,-1.74
10,109.33,-0.03%,107.63,-1.71
11,109.02,-0.29%,107.63,-1.4
12,110.65,1.49%,107.63,-3.03
13,108.04,-2.36%,107.63,-0.42
14,105.22,-2.62%,104.82,-0.41
15,105.58,0.34%,105.17,-0.41
16,107.05,1.39%,105.17,-1.88
17,106.16,-0.84%,105.17,-0.99
18,109.17,2.83%,108.15,-1.02
19,106.55,-2.40%,108.15,1.6
20,106.81,0.24%,108.41,1.59
21,108.71,1.77%,110.33,1.62
22,110.13,1.30%,110.33,0.2
23,107.44,-2.45%,110.33,2.89
24,109.14,1.58%,112.07,2.92
25,111.79,2.42%,112.07,0.27
26,109.39,-2.15%,112.07,2.67
27,110.27,0.80%,112.97,2.7
28,109.14,-1.03%,111.81,2.67
29,111.18,1.86%,113.89,2.7
30,113.78,2.33%,113.89,0.1
2,98.02,-1.99%,100,1.98
3,97.02,-1.03%,98.97,1.95
4,94.47,-2.63%,96.36,1.89
5,92.12,-2.49%,93.96,1.83
6,92.08,-0.05%,93.91,1.82
7,89.96,-2.31%,93.91,3.95
8,88.41,-1.73%,92.29,3.88
9,88.25,-0.19%,92.12,3.87
10,86.8,-1.65%,92.12,5.32
11,88.96,2.48%,92.12,3.16
12,88.97,0.01%,92.12,3.15
13,90.61,1.84%,92.12,1.51
14,89.48,-1.25%,92.12,2.64
15,89.61,0.14%,92.25,2.64
16,87.04,-2.87%,89.6,2.55
17,87.48,0.50%,90.05,2.56
18,89.37,2.16%,90.05,0.67
19,90.28,1.01%,90.05,-0.24
20,88.29,-2.21%,90.05,1.75
21,88.81,0.58%,90.58,1.76
22,86.35,-2.77%,88.07,1.71
23,85.39,-1.12%,87.09,1.7
24,88.48,3.61%,90.24,1.75
25,89.67,1.34%,90.24,0.56
26,92.44,3.08%,90.24,-2.21
27,95.75,3.58%,90.24,-5.52
28,95.31,-0.46%,90.24,-5.08
29,98.75,3.60%,93.49,-5.27
30,96.32,-2.47%,93.49,-2.83
2,98.34,-1.66%,100,1.65
3,96.69,-1.68%,98.32,1.62
4,98.36,1.72%,100.01,1.65
5,100.36,2.03%,100.01,-0.35
6,97.82,-2.54%,100.01,2.19
7,99.76,1.98%,101.99,2.22
8,98.09,-1.68%,101.99,3.89
9,97.33,-0.78%,101.99,4.65
10,96.36,-1%,101.99,5.62
11,93.71,-2.76%,101.99,8.28
12,95.91,2.34%,104.38,8.46
13,97.41,1.56%,104.38,6.96
14,97.08,-0.34%,104.38,7.29
15,98.85,1.82%,106.28,7.43
16,96.97,-1.91%,104.25,7.28
17,95.29,-1.74%,102.44,7.14
18,97.69,2.51%,105.02,7.32
19,100.86,3.24%,105.02,4.15
20,101.65,0.78%,105.02,3.36
21,100.49,-1.15%,103.82,3.32
22,98.27,-2.21%,101.52,3.25
23,98.44,0.17%,101.69,3.25
24,101.59,3.19%,101.69,0.09
25,99.24,-2.32%,101.69,2.45
26,102.04,2.82%,104.55,2.5
27,103.58,1.50%,104.55,0.96
28,102.22,-1.32%,104.55,2.32
29,105.38,3.09%,107.78,2.4
30,104.17,-1.15%,107.78,3.6
2,102.97,2.96%,100,-2.97
3,104.55,1.53%,100,-4.55
4,102.4,-2.06%,100,-2.41
5,103.8,1.36%,101.36,-2.44
6,101.29,-2.42%,98.9,-2.4
7,103.69,2.36%,101.24,-2.46
8,105.17,1.42%,101.24,-3.94
9,106.63,1.38%,101.24,-5.39
10,105.43,-1.13%,101.24,-4.2
11,104.55,-0.84%,100.39,-4.16
12,105.6,1%,101.39,-4.21
13,105.57,-0.03%,101.39,-4.18
14,106.79,1.15%,101.39,-5.41
15,105.51,-1.20%,101.39,-4.13
16,104.53,-0.93%,100.44,-4.1
17,103.64,-0.86%,99.58,-4.07
18,105.52,1.81%,101.38,-4.15
19,104.44,-1.03%,101.38,-3.07
20,106.92,2.37%,101.38,-5.55
21,106.38,-0.51%,101.38,-5
22,104.03,-2.21%,101.38,-2.66
23,107.2,3.04%,104.46,-2.75
24,109.95,2.56%,104.46,-5.5
25,109.82,-0.12%,104.46,-5.36
26,112.29,2.24%,106.8,-5.5
27,115.69,3.02%,106.8,-8.89
28,115.62,-0.07%,106.8,-8.83
29,112.94,-2.32%,104.32,-8.63
30,110.85,-1.86%,102.38,-8.47
2,101.09,1.09%,100,-1.1
3,101.06,-0.03%,100,-1.07
4,102.97,1.88%,100,-2.97
5,102.76,-0.21%,100,-2.77
6,104.1,1.30%,100,-4.1
7,102.43,-1.61%,100,-2.44
8,102.91,0.46%,100.46,-2.46
9,103.04,0.12%,100.58,-2.47
10,104.87,1.77%,102.36,-2.52
11,106.78,1.82%,104.22,-2.57
12,109.25,2.31%,106.63,-2.63
13,106.87,-2.18%,106.63,-0.25
14,109.75,2.69%,109.5,-0.25
15,108.93,-0.75%,109.5,0.56
16,111.19,2.07%,109.5,-1.69
17,109.14,-1.85%,109.5,0.35
18,107.89,-1.15%,108.24,0.34
19,108.83,0.87%,109.18,0.35
20,111.24,2.21%,109.18,-2.06
21,108.63,-2.35%,109.18,0.55
22,110.47,1.69%,111.02,0.54
23,109.2,-1.15%,111.02,1.81
24,107.95,-1.15%,111.02,3.06
25,109.3,1.25%,111.02,1.71
26,109.38,0.07%,111.02,1.64
27,107.24,-1.96%,111.02,3.78
28,109.86,2.44%,113.73,3.87
29,108.84,-0.93%,113.73,4.89
30,109.85,0.92%,113.73,3.88
2,102.82,2.81%,100,-2.82
3,106.3,3.38%,100,-6.3
4,108.88,2.42%,100,-8.88
5,108.19,-0.64%,100,-8.19
6,109.59,1.29%,101.29,-8.3
7,106.62,-2.72%,98.54,-8.08
8,108.39,1.66%,100.17,-8.22
9,111.52,2.88%,100.17,-11.35
10,114.36,2.54%,100.17,-14.19
11,113.81,-0.49%,100.17,-13.64
12,111.19,-2.31%,97.86,-13.33
13,110.38,-0.73%,97.14,-13.24
14,113.82,3.11%,100.16,-13.66
15,113.13,-0.61%,100.16,-12.97
16,114.15,0.90%,101.06,-13.1
17,115.52,1.20%,102.27,-13.25
18,118.44,2.52%,104.85,-13.6
19,118.84,0.33%,104.85,-14
20,120.27,1.20%,104.85,-15.43
21,122.33,1.71%,104.85,-17.49
22,121.61,-0.59%,104.85,-16.77
23,122.72,0.91%,105.8,-16.93
24,120.32,-1.96%,103.73,-16.59
25,123.19,2.38%,106.2,-16.99
26,123.23,0.03%,106.2,-17.03
27,121.28,-1.59%,106.2,-15.08
28,118.95,-1.93%,104.15,-14.8
29,117,-1.64%,102.44,-14.57
30,117.66,0.56%,103.01,-14.65
2,100.83,0.82%,100,-0.83
3,99.17,-1.65%,100,0.82
4,100.79,1.63%,101.63,0.83
5,98.58,-2.20%,101.63,3.04
6,101.08,2.53%,104.2,3.12
7,103.13,2.02%,104.2,1.07
8,102.33,-0.78%,104.2,1.87
9,103.76,1.39%,105.65,1.89
10,101.2,-2.47%,103.04,1.84
11,100.89,-0.31%,102.72,1.82
12,103.87,2.95%,105.75,1.87
13,104.89,0.98%,105.75,0.85
14,108.18,3.13%,105.75,-2.44
15,107.4,-0.73%,105.75,-1.66
16,109.45,1.90%,107.76,-1.69
17,112.85,3.10%,111.1,-1.75
18,113.19,0.30%,111.1,-2.1
19,112.97,-0.20%,110.88,-2.1
20,115.94,2.62%,113.79,-2.15
21,118.48,2.19%,113.79,-4.69
22,119.51,0.86%,113.79,-5.72
23,116.89,-2.20%,113.79,-3.1
24,114.35,-2.18%,111.31,-3.04
25,116.61,1.97%,113.5,-3.11
26,115.17,-1.24%,113.5,-1.68
27,115.36,0.16%,113.5,-1.86
28,117.24,1.62%,113.5,-3.74
29,119.36,1.80%,113.5,-5.86
30,117.99,-1.15%,113.5,-4.49
2,101.02,1.01%,100,-1.02
3,103.97,2.92%,100,-3.97
4,104.79,0.78%,100,-4.8
5,107.98,3.04%,100,-7.99
6,109.49,1.39%,100,-9.49
7,111.65,1.97%,100,-11.66
8,110.36,-1.16%,100,-10.36
9,111.28,0.83%,100.83,-10.46
10,113.55,2.03%,102.88,-10.68
11,113.56,0%,102.88,-10.69
12,116.63,2.70%,102.88,-13.75
13,115.54,-0.94%,102.88,-12.67
14,115.21,-0.29%,102.58,-12.63
15,117.55,2.03%,104.66,-12.89
16,116.08,-1.26%,104.66,-11.43
17,118.65,2.21%,106.97,-11.69
18,117.97,-0.58%,106.97,-11
19,119.25,1.08%,106.97,-12.28
20,121.69,2.04%,106.97,-14.72
21,118.96,-2.25%,106.97,-11.99
22,118.01,-0.80%,106.11,-11.91
23,117.4,-0.52%,105.56,-11.85
24,115.02,-2.03%,103.42,-11.6
25,118.28,2.83%,106.35,-11.94
26,119.36,0.91%,106.35,-13.02
27,119.21,-0.13%,106.35,-12.86
28,120.68,1.23%,107.66,-13.03
29,122.89,1.83%,109.63,-13.27
30,125.02,1.73%,111.53,-13.49
2,102.44,2.43%,102.44,0
3,100.86,-1.55%,102.44,1.57
4,98.9,-1.95%,100.44,1.53
5,96.78,-2.15%,98.28,1.5
6,97.66,0.90%,99.17,1.51
7,98.05,0.39%,99.17,1.12
8,95.75,-2.35%,99.17,3.42
9,94.44,-1.37%,97.81,3.37
10,93.55,-0.95%,96.88,3.32
