,Age,Education,Income,Occupation,Settlement size,Sex_Female,Sex_Male,Marital status_Married,Marital status_Single
77,51,1.0,155486,1.0,2.0,0.0,1.0,0.0,1.0
78,39,1.0,151697,0.0,0.0,0.0,1.0,0.0,1.0
79,22,1.0,126400,1.0,1.0,0.0,1.0,1.0,0.0
80,44,2.0,159246,1.0,2.0,1.0,0.0,1.0,0.0
81,47,1.0,136138,1.0,1.0,0.0,1.0,0.0,1.0
82,24,1.0,84792,0.0,0.0,1.0,0.0,1.0,0.0
83,58,2.0,100210,0.0,0.0,1.0,0.0,1.0,0.0
84,52,1.0,93706,0.0,0.0,0.0,1.0,0.0,1.0
85,29,1.0,133783,2.0,1.0,1.0,0.0,1.0,0.0
86,27,1.0,110064,1.0,2.0,1.0,0.0,1.0,0.0
87,47,1.0,241068,1.0,1.0,0.0,1.0,0.0,1.0
88,30,0.0,149022,2.0,2.0,0.0,1.0,0.0,1.0
89,28,0.0,92973,1.0,2.0,0.0,1.0,0.0,1.0
90,56,1.0,110605,1.0,1.0,0.0,1.0,0.0,1.0
91,54,1.0,116604,1.0,1.0,0.0,1.0,0.0,1.0
92,33,1.0,71070,0.0,0.0,1.0,0.0,1.0,0.0
93,20,0.0,128678,1.0,1.0,0.0,1.0,0.0,1.0
94,54,1.0,165230,1.0,2.0,0.0,1.0,0.0,1.0
95,58,2.0,268340,1.0,1.0,0.0,1.0,0.0,1.0
96,61,2.0,135070,1.0,1.0,1.0,0.0,1.0,0.0
97,34,1.0,134794,1.0,2.0,0.0,1.0,0.0,1.0
98,36,1.0,120153,1.0,1.0,0.0,1.0,0.0,1.0
99,36,1.0,195465,2.0,2.0,0.0,1.0,0.0,1.0
100,41,1.0,93372,0.0,0.0,0.0,1.0,1.0,0.0
101,24,0.0,110446,1.0,0.0,0.0,1.0,0.0,1.0
102,24,1.0,95186,1.0,1.0,1.0,0.0,1.0,0.0
103,35,1.0,115343,1.0,1.0,0.0,1.0,0.0,1.0
104,26,1.0,107276,1.0,1.0,0.0,1.0,1.0,0.0
105,39,1.0,244716,2.0,2.0,0.0,1.0,0.0,1.0
106,39,1.0,183108,2.0,2.0,0.0,1.0,0.0,1.0
107,32,0.0,152876,1.0,2.0,0.0,1.0,0.0,1.0
108,30,1.0,165147,1.0,0.0,1.0,0.0,1.0,0.0
109,35,1.0,140520,1.0,0.0,0.0,1.0,1.0,0.0
110,31,1.0,124203,1.0,1.0,0.0,1.0,1.0,0.0
111,23,1.0,107205,1.0,1.0,1.0,0.0,1.0,0.0
112,28,0.0,121432,0.0,2.0,0.0,1.0,0.0,1.0
113,25,1.0,162445,1.0,0.0,1.0,0.0,1.0,0.0
114,35,1.0,134112,1.0,1.0,0.0,1.0,1.0,0.0
115,47,1.0,131842,1.0,1.0,0.0,1.0,0.0,1.0
116,30,1.0,189896,2.0,0.0,1.0,0.0,1.0,0.0
117,27,1.0,109099,1.0,2.0,1.0,0.0,1.0,0.0
118,23,1.0,153539,1.0,1.0,1.0,0.0,1.0,0.0
119,36,1.0,180495,2.0,1.0,0.0,1.0,1.0,0.0
120,25,1.0,104653,1.0,2.0,1.0,0.0,1.0,0.0
121,41,2.0,166933,2.0,2.0,1.0,0.0,1.0,0.0
122,24,0.0,66118,0.0,0.0,0.0,1.0,0.0,1.0
123,63,2.0,135754,1.0,0.0,0.0,1.0,0.0,1.0
124,27,1.0,116103,1.0,2.0,1.0,0.0,1.0,0.0
125,30,0.0,104293,1.0,1.0,0.0,1.0,0.0,1.0
126,40,1.0,71702,0.0,0.0,0.0,1.0,1.0,0.0
127,30,0.0,99066,1.0,2.0,0.0,1.0,0.0,1.0
128,34,1.0,143979,2.0,2.0,0.0,1.0,0.0,1.0
129,29,1.0,123818,1.0,0.0,1.0,0.0,1.0,0.0
130,24,1.0,176714,1.0,2.0,1.0,0.0,1.0,0.0
131,29,0.0,149249,1.0,2.0,0.0,1.0,0.0,1.0
132,27,0.0,77535,0.0,0.0,0.0,1.0,0.0,1.0
133,47,1.0,116540,1.0,1.0,0.0,1.0,0.0,1.0
134,21,1.0,194728,1.0,0.0,1.0,0.0,1.0,0.0
135,38,1.0,109311,1.0,2.0,1.0,0.0,1.0,0.0
136,27,0.0,204723,1.0,2.0,0.0,1.0,0.0,1.0
137,66,2.0,126003,0.0,0.0,0.0,1.0,0.0,1.0
138,35,1.0,123109,1.0,1.0,0.0,1.0,0.0,1.0
139,44,2.0,108251,0.0,0.0,1.0,0.0,1.0,0.0
140,27,1.0,89908,0.0,0.0,0.0,1.0,1.0,0.0
141,30,1.0,176057,2.0,1.0,1.0,0.0,1.0,0.0
142,27,0.0,144332,2.0,2.0,0.0,1.0,0.0,1.0
143,22,0.0,101185,1.0,1.0,0.0,1.0,0.0,1.0
144,23,1.0,107406,1.0,2.0,1.0,0.0,1.0,0.0
145,30,0.0,140665,1.0,1.0,0.0,1.0,0.0,1.0
146,39,2.0,106461,1.0,0.0,1.0,0.0,1.0,0.0
147,51,2.0,127825,1.0,0.0,1.0,0.0,1.0,0.0
148,28,0.0,133898,1.0,1.0,0.0,1.0,0.0,1.0
149,46,1.0,152383,1.0,2.0,0.0,1.0,0.0,1.0
150,42,1.0,119926,1.0,0.0,0.0,1.0,0.0,1.0
151,38,1.0,108784,1.0,2.0,0.0,1.0,0.0,1.0
152,24,0.0,153286,1.0,1.0,0.0,1.0,0.0,1.0
153,29,1.0,214204,1.0,2.0,1.0,0.0,1.0,0.0
154,36,1.0,208101,2.0,2.0,0.0,1.0,0.0,1.0
155,20,1.0,95355,1.0,1.0,1.0,0.0,1.0,0.0
156,48,1.0,124156,1.0,1.0,0.0,1.0,0.0,1.0
157,45,2.0,72215,0.0,0.0,0.0,1.0,1.0,0.0
158,38,1.0,146529,1.0,2.0,0.0,1.0,0.0,1.0
159,34,1.0,75343,0.0,0.0,0.0,1.0,0.0,1.0
160,36,1.0,129789,1.0,1.0,0.0,1.0,0.0,1.0
161,30,1.0,101153,1.0,1.0,1.0,0.0,1.0,0.0
162,36,1.0,127833,1.0,2.0,0.0,1.0,0.0,1.0
163,70,2.0,224998,2.0,2.0,0.0,1.0,0.0,1.0
164,36,1.0,124445,1.0,2.0,0.0,1.0,0.0,1.0
165,32,0.0,141116,1.0,1.0,0.0,1.0,0.0,1.0
166,33,1.0,104276,1.0,2.0,1.0,0.0,1.0,0.0
167,20,1.0,147687,1.0,2.0,1.0,0.0,1.0,0.0
168,25,1.0,125168,1.0,1.0,1.0,0.0,1.0,0.0
169,31,1.0,115369,1.0,2.0,0.0,1.0,1.0,0.0
170,33,1.0,95445,1.0,0.0,0.0,1.0,0.0,1.0
171,26,1.0,95159,1.0,1.0,1.0,0.0,1.0,0.0
172,34,1.0,153031,2.0,2.0,1.0,0.0,1.0,0.0
173,33,1.0,108899,1.0,0.0,0.0,1.0,0.0,1.0
174,26,0.0,113515,1.0,1.0,0.0,1.0,0.0,1.0
175,53,2.0,211229,2.0,0.0,1.0,0.0,1.0,0.0
176,42,2.0,121307,1.0,0.0,0.0,1.0,1.0,0.0
177,52,1.0,131727,1.0,2.0,0.0,1.0,0.0,1.0
178,31,0.0,133574,2.0,1.0,0.0,1.0,0.0,1.0
179,65,2.0,117334,1.0,0.0,0.0,1.0,0.0,1.0
180,28,1.0,177291,1.0,2.0,0.0,1.0,1.0,0.0
181,30,1.0,168763,2.0,1.0,0.0,1.0,1.0,0.0
182,40,1.0,77720,0.0,0.0,0.0,1.0,0.0,1.0
183,50,1.0,176645,1.0,2.0,0.0,1.0,0.0,1.0
184,36,1.0,106205,1.0,1.0,0.0,1.0,0.0,1.0
185,31,0.0,97785,1.0,1.0,0.0,1.0,0.0,1.0
186,74,3.0,214364,2.0,1.0,1.0,0.0,1.0,0.0
187,68,2.0,74525,0.0,0.0,0.0,1.0,0.0,1.0
188,20,1.0,98988,1.0,0.0,0.0,1.0,1.0,0.0
189,33,1.0,133561,1.0,1.0,1.0,0.0,1.0,0.0
190,54,1.0,217651,2.0,2.0,0.0,1.0,0.0,1.0
191,34,1.0,116525,0.0,0.0,0.0,1.0,0.0,1.0
192,36,1.0,135302,1.0,2.0,0.0,1.0,0.0,1.0
193,29,1.0,106434,1.0,1.0,0.0,1.0,1.0,0.0
194,21,0.0,128350,1.0,2.0,0.0,1.0,0.0,1.0
195,34,1.0,147626,2.0,2.0,1.0,0.0,1.0,0.0
196,28,1.0,102697,1.0,0.0,1.0,0.0,1.0,0.0
197,27,1.0,120262,1.0,0.0,1.0,0.0,1.0,0.0
198,36,1.0,124214,1.0,2.0,0.0,1.0,0.0,1.0
199,40,1.0,175223,2.0,1.0,0.0,1.0,1.0,0.0
200,52,1.0,137467,1.0,0.0,0.0,1.0,0.0,1.0
201,27,1.0,65815,0.0,0.0,0.0,1.0,1.0,0.0
202,26,0.0,129864,1.0,1.0,0.0,1.0,0.0,1.0
203,21,1.0,88475,1.0,1.0,0.0,1.0,1.0,0.0
204,38,1.0,74666,0.0,0.0,0.0,1.0,0.0,1.0
205,38,1.0,222294,2.0,2.0,0.0,1.0,0.0,1.0
206,43,1.0,112878,1.0,0.0,0.0,1.0,0.0,1.0
207,26,0.0,103411,1.0,2.0,0.0,1.0,0.0,1.0
208,21,1.0,112868,0.0,0.0,0.0,1.0,1.0,0.0
209,55,1.0,157940,1.0,2.0,0.0,1.0,0.0,1.0
210,33,1.0,115835,1.0,2.0,0.0,1.0,0.0,1.0
211,45,2.0,109807,0.0,0.0,1.0,0.0,1.0,0.0
212,50,1.0,150699,1.0,1.0,0.0,1.0,0.0,1.0
213,66,2.0,178967,2.0,0.0,0.0,1.0,0.0,1.0
214,51,1.0,132767,1.0,0.0,0.0,1.0,0.0,1.0
215,39,2.0,86152,0.0,0.0,1.0,0.0,1.0,0.0
216,31,0.0,114528,1.0,2.0,0.0,1.0,0.0,1.0
217,23,0.0,133912,1.0,1.0,0.0,1.0,0.0,1.0
218,24,1.0,81210,0.0,0.0,0.0,1.0,1.0,0.0
219,64,3.0,131242,1.0,0.0,1.0,0.0,1.0,0.0
220,26,1.0,68804,0.0,0.0,0.0,1.0,1.0,0.0
221,23,1.0,96961,1.0,1.0,1.0,0.0,1.0,0.0
222,30,0.0,90719,1.0,2.0,0.0,1.0,0.0,1.0
223,32,0.0,114116,1.0,1.0,0.0,1.0,0.0,1.0
224,30,0.0,128639,1.0,1.0,0.0,1.0,0.0,1.0
225,27,0.0,106623,1.0,1.0,0.0,1.0,0.0,1.0
226,27,0.0,236264,1.0,1.0,0.0,1.0,0.0,1.0
227,53,1.0,207783,2.0,1.0,0.0,1.0,0.0,1.0
228,22,0.0,91739,1.0,1.0,0.0,1.0,0.0,1.0
229,22,0.0,107780,1.0,2.0,0.0,1.0,0.0,1.0
230,26,0.0,139157,1.0,2.0,0.0,1.0,0.0,1.0
231,51,1.0,121751,0.0,0.0,0.0,1.0,0.0,1.0
232,35,1.0,121974,1.0,0.0,0.0,1.0,0.0,1.0
233,25,1.0,70320,0.0,0.0,0.0,1.0,1.0,0.0
234,42,1.0,78327,0.0,0.0,0.0,1.0,0.0,1.0
235,30,0.0,131433,2.0,0.0,0.0,1.0,0.0,1.0
236,23,0.0,167076,0.0,2.0,0.0,1.0,0.0,1.0
237,61,2.0,130788,0.0,0.0,0.0,1.0,1.0,0.0
238,35,1.0,107408,1.0,1.0,1.0,0.0,1.0,0.0
239,39,1.0,115323,1.0,1.0,0.0,1.0,0.0,1.0
240,29,1.0,99012,1.0,0.0,1.0,0.0,1.0,0.0
241,51,1.0,115996,1.0,1.0,0.0,1.0,0.0,1.0
242,24,0.0,123353,1.0,1.0,0.0,1.0,0.0,1.0
243,27,1.0,100008,1.0,0.0,1.0,0.0,1.0,0.0
244,35,1.0,125105,0.0,0.0,1.0,0.0,1.0,0.0
245,25,0.0,92020,1.0,2.0,0.0,1.0,0.0,1.0
246,52,1.0,108365,1.0,2.0,0.0,1.0,0.0,1.0
247,35,1.0,112979,1.0,0.0,0.0,1.0,0.0,1.0
248,26,0.0,117221,1.0,1.0,0.0,1.0,0.0,1.0
249,22,1.0,88800,1.0,2.0,1.0,0.0,1.0,0.0
250,39,2.0,115099,0.0,0.0,1.0,0.0,1.0,0.0
251,46,2.0,113399,0.0,0.0,1.0,0.0,1.0,0.0
252,24,1.0,115879,1.0,1.0,1.0,0.0,1.0,0.0
253,35,1.0,141270,1.0,2.0,0.0,1.0,0.0,1.0
254,24,0.0,107633,1.0,1.0,0.0,1.0,0.0,1.0
255,27,0.0,131751,0.0,0.0,0.0,1.0,0.0,1.0
256,35,1.0,83687,0.0,0.0,0.0,1.0,0.0,1.0
257,29,1.0,106828,1.0,2.0,0.0,1.0,1.0,0.0
258,23,1.0,135537,1.0,1.0,1.0,0.0,1.0,0.0
259,57,2.0,107142,0.0,0.0,1.0,0.0,1.0,0.0
260,27,0.0,97446,1.0,1.0,0.0,1.0,0.0,1.0
261,55,2.0,126357,1.0,2.0,1.0,0.0,1.0,0.0
262,36,1.0,169617,2.0,1.0,0.0,1.0,0.0,1.0
263,57,2.0,108945,0.0,0.0,1.0,0.0,1.0,0.0
264,32,0.0,67345,0.0,0.0,0.0,1.0,0.0,1.0
265,37,1.0,106215,1.0,0.0,0.0,1.0,0.0,1.0
266,36,1.0,149237,1.0,0.0,0.0,1.0,0.0,1.0
267,38,1.0,112124,1.0,0.0,1.0,0.0,1.0,0.0
268,45,2.0,215150,2.0,2.0,0.0,1.0,1.0,0.0
269,25,0.0,89534,1.0,1.0,0.0,1.0,0.0,1.0
270,32,0.0,111082,1.0,2.0,0.0,1.0,0.0,1.0
271,37,1.0,137069,1.0,1.0,1.0,0.0,1.0,0.0
272,36,1.0,244541,2.0,2.0,0.0,1.0,0.0,1.0
273,28,0.0,120712,1.0,1.0,0.0,1.0,0.0,1.0
274,34,1.0,175367,0.0,0.0,0.0,1.0,1.0,0.0
275,32,0.0,111418,1.0,1.0,0.0,1.0,0.0,1.0
276,26,1.0,110913,1.0,0.0,1.0,0.0,1.0,0.0
277,49,2.0,84267,0.0,0.0,0.0,1.0,1.0,0.0
278,32,1.0,136886,1.0,2.0,1.0,0.0,1.0,0.0
279,29,0.0,144884,2.0,2.0,0.0,1.0,0.0,1.0
280,23,0.0,151180,1.0,1.0,0.0,1.0,0.0,1.0
281,50,1.0,114997,1.0,1.0,0.0,1.0,0.0,1.0
282,49,1.0,100961,0.0,0.0,0.0,1.0,0.0,1.0
283,63,2.0,124849,1.0,2.0,0.0,1.0,0.0,1.0
284,37,1.0,152308,1.0,2.0,0.0,1.0,1.0,0.0
285,35,1.0,167945,0.0,1.0,1.0,0.0,1.0,0.0
286,26,0.0,126706,1.0,2.0,0.0,1.0,0.0,1.0
287,31,0.0,210017,2.0,2.0,0.0,1.0,0.0,1.0
288,49,2.0,125665,1.0,1.0,1.0,0.0,1.0,0.0
289,48,2.0,111184,1.0,1.0,0.0,1.0,1.0,0.0
290,26,1.0,94134,1.0,0.0,0.0,1.0,1.0,0.0
291,28,1.0,214620,2.0,1.0,0.0,1.0,1.0,0.0
292,44,2.0,193816,2.0,1.0,1.0,0.0,1.0,0.0
293,56,1.0,168714,1.0,1.0,0.0,1.0,0.0,1.0
294,46,2.0,202997,2.0,1.0,0.0,1.0,1.0,0.0
295,26,1.0,192451,1.0,2.0,1.0,0.0,1.0,0.0
296,20,1.0,127928,1.0,2.0,1.0,0.0,1.0,0.0
297,45,1.0,78253,0.0,0.0,0.0,1.0,0.0,1.0
298,43,1.0,118446,1.0,1.0,0.0,1.0,0.0,1.0
299,32,0.0,161379,1.0,2.0,0.0,1.0,0.0,1.0
300,54,2.0,56622,0.0,0.0,1.0,0.0,1.0,0.0
301,42,2.0,146117,1.0,1.0,1.0,0.0,1.0,0.0
302,37,1.0,90418,0.0,0.0,0.0,1.0,0.0,1.0
303,49,1.0,109053,1.0,0.0,0.0,1.0,0.0,1.0
304,44,1.0,219319,1.0,0.0,0.0,1.0,0.0,1.0
305,33,1.0,144701,1.0,1.0,0.0,1.0,1.0,0.0
306,24,1.0,102425,0.0,0.0,1.0,0.0,1.0,0.0
307,33,1.0,79867,0.0,0.0,0.0,1.0,1.0,0.0
308,24,1.0,107114,1.0,2.0,1.0,0.0,1.0,0.0
309,22,1.0,62263,0.0,0.0,0.0,1.0,1.0,0.0
310,40,1.0,92567,0.0,0.0,0.0,1.0,0.0,1.0
311,25,0.0,146349,1.0,0.0,0.0,1.0,0.0,1.0
312,26,1.0,141825,1.0,1.0,1.0,0.0,1.0,0.0
313,25,1.0,68582,0.0,0.0,0.0,1.0,1.0,0.0
314,29,0.0,85476,0.0,0.0,0.0,1.0,0.0,1.0
315,31,0.0,111091,1.0,2.0,0.0,1.0,0.0,1.0
316,38,1.0,67110,0.0,0.0,0.0,1.0,0.0,1.0
317,48,2.0,126154,0.0,0.0,1.0,0.0,1.0,0.0
318,32,0.0,92257,1.0,2.0,0.0,1.0,0.0,1.0
319,27,1.0,93605,0.0,0.0,1.0,0.0,1.0,0.0
320,28,1.0,165190,2.0,0.0,0.0,1.0,1.0,0.0
321,32,1.0,107195,1.0,0.0,0.0,1.0,1.0,0.0
322,34,1.0,145059,2.0,0.0,0.0,1.0,0.0,1.0
323,28,0.0,148363,1.0,0.0,0.0,1.0,0.0,1.0
324,36,1.0,105681,1.0,2.0,1.0,0.0,1.0,0.0
325,39,1.0,93732,0.0,0.0,0.0,1.0,0.0,1.0
326,49,1.0,154778,1.0,2.0,0.0,1.0,0.0,1.0
327,34,1.0,149356,1.0,2.0,1.0,0.0,1.0,0.0
328,31,0.0,145670,1.0,1.0,0.0,1.0,0.0,1.0
329,28,0.0,101589,1.0,2.0,0.0,1.0,0.0,1.0
330,75,2.0,213333,2.0,1.0,0.0,1.0,0.0,1.0
331,30,1.0,122420,1.0,0.0,1.0,0.0,1.0,0.0
332,24,1.0,209856,2.0,1.0,1.0,0.0,1.0,0.0
333,24,1.0,181003,0.0,0.0,1.0,0.0,1.0,0.0
334,23,0.0,117804,1.0,1.0,0.0,1.0,0.0,1.0
335,44,2.0,160650,2.0,1.0,0.0,1.0,1.0,0.0
336,23,1.0,84611,0.0,0.0,1.0,0.0,1.0,0.0
337,24,1.0,98479,1.0,2.0,1.0,0.0,1.0,0.0
338,28,0.0,122359,1.0,2.0,0.0,1.0,0.0,1.0
339,31,1.0,81394,0.0,0.0,0.0,1.0,1.0,0.0
340,24,1.0,150372,1.0,1.0,1.0,0.0,1.0,0.0
341,26,1.0,92385,0.0,0.0,1.0,0.0,1.0,0.0
342,25,1.0,149851,1.0,2.0,0.0,1.0,1.0,0.0
343,33,1.0,167939,2.0,1.0,0.0,1.0,0.0,1.0
344,37,1.0,115426,0.0,0.0,0.0,1.0,0.0,1.0
345,43,2.0,85402,0.0,0.0,1.0,0.0,1.0,0.0
346,23,0.0,95815,1.0,2.0,0.0,1.0,0.0,1.0
347,23,1.0,97518,0.0,0.0,1.0,0.0,1.0,0.0
348,34,1.0,87355,0.0,0.0,0.0,1.0,0.0,1.0
349,32,0.0,145933,1.0,1.0,0.0,1.0,0.0,1.0
350,23,1.0,97307,1.0,0.0,1.0,0.0,1.0,0.0
351,29,1.0,108434,1.0,2.0,1.0,0.0,1.0,0.0
352,38,1.0,151312,2.0,1.0,0.0,1.0,0.0,1.0
353,28,0.0,141847,1.0,1.0,0.0,1.0,0.0,1.0
354,46,1.0,130675,1.0,2.0,0.0,1.0,0.0,1.0
355,23,0.0,69309,0.0,0.0,0.0,1.0,0.0,1.0
356,49,1.0,121466,1.0,2.0,0.0,1.0,0.0,1.0
357,26,0.0,153586,2.0,2.0,0.0,1.0,0.0,1.0
358,28,1.0,92849,1.0,0.0,0.0,1.0,1.0,0.0
359,23,1.0,108539,1.0,2.0,1.0,0.0,1.0,0.0
360,61,2.0,129556,1.0,2.0,0.0,1.0,0.0,1.0
361,37,1.0,170146,2.0,0.0,0.0,1.0,0.0,1.0
362,36,1.0,135383,1.0,1.0,1.0,0.0,1.0,0.0
363,21,1.0,96769,1.0,2.0,0.0,1.0,1.0,0.0
364,25,0.0,43684,0.0,0.0,0.0,1.0,0.0,1.0
365,36,1.0,103521,1.0,0.0,0.0,1.0,0.0,1.0
366,27,0.0,118499,1.0,1.0,0.0,1.0,0.0,1.0
367,22,1.0,119684,1.0,2.0,1.0,0.0,1.0,0.0
368,42,1.0,126586,1.0,1.0,0.0,1.0,0.0,1.0
369,40,2.0,136812,1.0,2.0,1.0,0.0,1.0,0.0
370,36,1.0,118277,1.0,1.0,0.0,1.0,0.0,1.0
371,33,1.0,144597,1.0,1.0,0.0,1.0,0.0,1.0
372,23,1.0,106043,1.0,0.0,1.0,0.0,1.0,0.0
373,63,2.0,272314,2.0,2.0,0.0,1.0,0.0,1.0
374,60,2.0,309364,2.0,2.0,1.0,0.0,1.0,0.0
375,37,1.0,170386,1.0,1.0,1.0,0.0,1.0,0.0
376,34,1.0,112458,1.0,0.0,0.0,1.0,1.0,0.0
377,36,1.0,96840,1.0,1.0,0.0,1.0,0.0,1.0
378,57,2.0,281923,2.0,1.0,0.0,1.0,0.0,1.0
379,52,2.0,95551,0.0,0.0,1.0,0.0,1.0,0.0
380,39,1.0,112347,1.0,2.0,0.0,1.0,0.0,1.0
381,38,1.0,260977,2.0,2.0,1.0,0.0,1.0,0.0
382,25,1.0,99354,1.0,0.0,1.0,0.0,1.0,0.0
383,26,0.0,111509,1.0,2.0,0.0,1.0,0.0,1.0
384,26,0.0,105252,0.0,0.0,0.0,1.0,0.0,1.0
385,25,1.0,108522,1.0,0.0,1.0,0.0,1.0,0.0
386,21,1.0,94655,1.0,1.0,1.0,0.0,1.0,0.0
387,40,1.0,201699,2.0,1.0,0.0,1.0,0.0,1.0
388,27,0.0,139868,1.0,2.0,0.0,1.0,0.0,1.0
389,27,1.0,102543,1.0,1.0,1.0,0.0,1.0,0.0
390,30,1.0,134467,2.0,2.0,0.0,1.0,1.0,0.0
391,19,1.0,111187,0.0,0.0,1.0,0.0,1.0,0.0
392,39,1.0,152302,2.0,1.0,0.0,1.0,0.0,1.0
393,31,1.0,110610,1.0,2.0,1.0,0.0,1.0,0.0
394,31,0.0,137827,2.0,2.0,0.0,1.0,0.0,1.0
395,32,0.0,220923,1.0,2.0,0.0,1.0,0.0,1.0
396,55,2.0,165717,2.0,2.0,1.0,0.0,1.0,0.0
