ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000043,Male,Single,44,High School,133658,Unemployed,Small City
100000044,Male,Married,24,High School,155104,Skilled Employee,Mid-sized City
100000045,Female,Married,58,University,142335,Unemployed,Mid-sized City
100000046,Female,Married,35,High School,138387,Management,Mid-sized City
100000047,Male,Single,39,High School,140182,Skilled Employee,Small City
100000048,Female,Married,23,High School,65421,Unemployed,Small City
100000049,Male,Single,39,High School,130500,Unemployed,Small City
100000050,Female,Married,28,High School,122831,Skilled Employee,Small City
100000051,Male,Single,29,Unknown,84531,Unemployed,Small City
100000052,Male,Single,30,Unknown,180196,Management,Big City
100000053,Male,Single,25,Unknown,92058,Skilled Employee,Big City
100000054,Male,Single,31,Unknown,117158,Skilled Employee,Small City
100000055,Male,Single,57,University,135830,Skilled Employee,Mid-sized City
100000056,Male,Single,26,Unknown,58258,Unemployed,Small City
100000057,Male,Single,52,High School,202575,Management,Big City
100000058,Female,Married,31,High School,183657,Skilled Employee,Mid-sized City
100000059,Female,Married,23,High School,152267,Management,Mid-sized City
100000060,Female,Married,23,High School,115240,Unemployed,Small City
100000061,Male,Married,27,High School,106955,Skilled Employee,Big City
100000062,Male,Single,50,High School,123641,Skilled Employee,Mid-sized City
100000063,Male,Single,61,University,166410,Management,Mid-sized City
100000064,Male,Single,25,Unknown,227385,Skilled Employee,Big City
100000065,Female,Married,26,High School,118372,Skilled Employee,Mid-sized City
100000066,Male,Single,48,High School,148115,Skilled Employee,Mid-sized City
100000067,Female,Married,29,High School,111069,Skilled Employee,Small City
100000068,Male,Married,22,High School,139780,Skilled Employee,Small City
100000069,Male,Single,37,High School,106978,Skilled Employee,Big City
100000070,Female,Married,25,High School,110019,Skilled Employee,Big City
100000071,Female,Married,30,High School,169102,Skilled Employee,Mid-sized City
100000072,Male,Single,46,High School,73703,Unemployed,Small City
100000073,Male,Single,51,High School,141858,Management,Big City
100000074,Female,Married,41,University,135959,Unemployed,Small City
100000075,Male,Single,40,High School,140888,Management,Big City
100000076,Male,Single,66,University,157299,Management,Big City
100000077,Male,Single,34,High School,125187,Skilled Employee,Mid-sized City
100000078,Male,Single,51,High School,155486,Skilled Employee,Big City
100000079,Male,Single,39,High School,151697,Unemployed,Small City
100000080,Male,Married,22,High School,126400,Skilled Employee,Mid-sized City
100000081,Female,Married,44,University,159246,Skilled Employee,Big City
100000082,Male,Single,47,High School,136138,Skilled Employee,Mid-sized City
100000083,Female,Married,24,High School,84792,Unemployed,Small City
100000084,Female,Married,58,University,100210,Unemployed,Small City
100000085,Male,Single,52,High School,93706,Unemployed,Small City
100000086,Female,Married,29,High School,133783,Management,Mid-sized City
100000087,Female,Married,27,High School,110064,Skilled Employee,Big City
100000088,Male,Single,47,High School,241068,Skilled Employee,Mid-sized City
100000089,Male,Single,30,Unknown,149022,Management,Big City
100000090,Male,Single,28,Unknown,92973,Skilled Employee,Big City
100000091,Male,Single,56,High School,110605,Skilled Employee,Mid-sized City
100000092,Male,Single,54,High School,116604,Skilled Employee,Mid-sized City
100000093,Female,Married,33,High School,71070,Unemployed,Small City
100000094,Male,Single,20,Unknown,128678,Skilled Employee,Mid-sized City
100000095,Male,Single,54,High School,165230,Skilled Employee,Big City
100000096,Male,Single,58,University,268340,Skilled Employee,Mid-sized City
100000097,Female,Married,61,University,135070,Skilled Employee,Mid-sized City
100000098,Male,Single,34,High School,134794,Skilled Employee,Big City
100000099,Male,Single,36,High School,120153,Skilled Employee,Mid-sized City
100000100,Male,Single,36,High School,195465,Management,Big City
100000101,Male,Married,41,High School,93372,Unemployed,Small City
100000102,Male,Single,24,Unknown,110446,Skilled Employee,Small City
100000103,Female,Married,24,High School,95186,Skilled Employee,Mid-sized City
100000104,Male,Single,35,High School,115343,Skilled Employee,Mid-sized City
100000105,Male,Married,26,High School,107276,Skilled Employee,Mid-sized City
100000106,Male,Single,39,High School,244716,Management,Big City
100000107,Male,Single,39,High School,183108,Management,Big City
100000108,Male,Single,32,Unknown,152876,Skilled Employee,Big City
100000109,Female,Married,30,High School,165147,Skilled Employee,Small City
100000110,Male,Married,35,High School,140520,Skilled Employee,Small City
100000111,Male,Married,31,High School,124203,Skilled Employee,Mid-sized City
100000112,Female,Married,23,High School,107205,Skilled Employee,Mid-sized City
100000113,Male,Single,28,Unknown,121432,Unemployed,Big City
100000114,Female,Married,25,High School,162445,Skilled Employee,Small City
100000115,Male,Married,35,High School,134112,Skilled Employee,Mid-sized City
100000116,Male,Single,47,High School,131842,Skilled Employee,Mid-sized City
100000117,Female,Married,30,High School,189896,Management,Small City
100000118,Female,Married,27,High School,109099,Skilled Employee,Big City
100000119,Female,Married,23,High School,153539,Skilled Employee,Mid-sized City
100000120,Male,Married,36,High School,180495,Management,Mid-sized City
100000121,Female,Married,25,High School,104653,Skilled Employee,Big City
100000122,Female,Married,41,University,166933,Management,Big City
100000123,Male,Single,24,Unknown,66118,Unemployed,Small City
100000124,Male,Single,63,University,135754,Skilled Employee,Small City
100000125,Female,Married,27,High School,116103,Skilled Employee,Big City
100000126,Male,Single,30,Unknown,104293,Skilled Employee,Mid-sized City
100000127,Male,Married,40,High School,71702,Unemployed,Small City
100000128,Male,Single,30,Unknown,99066,Skilled Employee,Big City
100000129,Male,Single,34,High School,143979,Management,Big City
100000130,Female,Married,29,High School,123818,Skilled Employee,Small City
100000131,Female,Married,24,High School,176714,Skilled Employee,Big City
100000132,Male,Single,29,Unknown,149249,Skilled Employee,Big City
100000133,Male,Single,27,Unknown,77535,Unemployed,Small City
100000134,Male,Single,47,High School,116540,Skilled Employee,Mid-sized City
100000135,Female,Married,21,High School,194728,Skilled Employee,Small City
100000136,Female,Married,38,High School,109311,Skilled Employee,Big City
100000137,Male,Single,27,Unknown,204723,Skilled Employee,Big City
100000138,Male,Single,66,University,126003,Unemployed,Small City
100000139,Male,Single,35,High School,123109,Skilled Employee,Mid-sized City
100000140,Female,Married,44,University,108251,Unemployed,Small City
100000141,Male,Married,27,High School,89908,Unemployed,Small City
100000142,Female,Married,30,High School,176057,Management,Mid-sized City
100000143,Male,Single,27,Unknown,144332,Management,Big City
100000144,Male,Single,22,Unknown,101185,Skilled Employee,Mid-sized City
100000145,Female,Married,23,High School,107406,Skilled Employee,Big City
100000146,Male,Single,30,Unknown,140665,Skilled Employee,Mid-sized City
100000147,Female,Married,39,University,106461,Skilled Employee,Small City
100000148,Female,Married,51,University,127825,Skilled Employee,Small City
100000149,Male,Single,28,Unknown,133898,Skilled Employee,Mid-sized City
100000150,Male,Single,46,High School,152383,Skilled Employee,Big City
100000151,Male,Single,42,High School,119926,Skilled Employee,Small City
100000152,Male,Single,38,High School,108784,Skilled Employee,Big City
100000153,Male,Single,24,Unknown,153286,Skilled Employee,Mid-sized City
100000154,Female,Married,29,High School,214204,Skilled Employee,Big City
100000155,Male,Single,36,High School,208101,Management,Big City
100000156,Female,Married,20,High School,95355,Skilled Employee,Mid-sized City
100000157,Male,Single,48,High School,124156,Skilled Employee,Mid-sized City
100000158,Male,Married,45,University,72215,Unemployed,Small City
100000159,Male,Single,38,High School,146529,Skilled Employee,Big City
100000160,Male,Single,34,High School,75343,Unemployed,Small City
100000161,Male,Single,36,High School,129789,Skilled Employee,Mid-sized City
100000162,Female,Married,30,High School,101153,Skilled Employee,Mid-sized City
100000163,Male,Single,36,High School,127833,Skilled Employee,Big City
100000164,Male,Single,70,University,224998,Management,Big City
100000165,Male,Single,36,High School,124445,Skilled Employee,Big City
100000166,Male,Single,32,Unknown,141116,Skilled Employee,Mid-sized City
100000167,Female,Married,33,High School,104276,Skilled Employee,Big City
100000168,Female,Married,20,High School,147687,Skilled Employee,Big City
100000169,Female,Married,25,High School,125168,Skilled Employee,Mid-sized City
100000170,Male,Married,31,High School,115369,Skilled Employee,Big City
100000171,Male,Single,33,High School,95445,Skilled Employee,Small City
100000172,Female,Married,26,High School,95159,Skilled Employee,Mid-sized City
100000173,Female,Married,34,High School,153031,Management,Big City
100000174,Male,Single,33,High School,108899,Skilled Employee,Small City
100000175,Male,Single,26,Unknown,113515,Skilled Employee,Mid-sized City
100000176,Female,Married,53,University,211229,Management,Small City
100000177,Male,Married,42,University,121307,Skilled Employee,Small City
100000178,Male,Single,52,High School,131727,Skilled Employee,Big City
100000179,Male,Single,31,Unknown,133574,Management,Mid-sized City
100000180,Male,Single,65,University,117334,Skilled Employee,Small City
100000181,Male,Married,28,High School,177291,Skilled Employee,Big City
100000182,Male,Married,30,High School,168763,Management,Mid-sized City
100000183,Male,Single,40,High School,77720,Unemployed,Small City
100000184,Male,Single,50,High School,176645,Skilled Employee,Big City
100000185,Male,Single,36,High School,106205,Skilled Employee,Mid-sized City
100000186,Male,Single,31,Unknown,97785,Skilled Employee,Mid-sized City
100000187,Female,Married,74,Graduate School,214364,Management,Mid-sized City
100000188,Male,Single,68,University,74525,Unemployed,Small City
100000189,Male,Married,20,High School,98988,Skilled Employee,Small City
100000190,Female,Married,33,High School,133561,Skilled Employee,Mid-sized City
100000191,Male,Single,54,High School,217651,Management,Big City
100000192,Male,Single,34,High School,116525,Unemployed,Small City
100000193,Male,Single,36,High School,135302,Skilled Employee,Big City
100000194,Male,Married,29,High School,106434,Skilled Employee,Mid-sized City
100000195,Male,Single,21,Unknown,128350,Skilled Employee,Big City
100000196,Female,Married,34,High School,147626,Management,Big City
100000197,Female,Married,28,High School,102697,Skilled Employee,Small City
100000198,Female,Married,27,High School,120262,Skilled Employee,Small City
100000199,Male,Single,36,High School,124214,Skilled Employee,Big City
100000200,Male,Married,40,High School,175223,Management,Mid-sized City
100000201,Male,Single,52,High School,137467,Skilled Employee,Small City
100000202,Male,Married,27,High School,65815,Unemployed,Small City
100000203,Male,Single,26,Unknown,129864,Skilled Employee,Mid-sized City
100000204,Male,Married,21,High School,88475,Skilled Employee,Mid-sized City
100000205,Male,Single,38,High School,74666,Unemployed,Small City
100000206,Male,Single,38,High School,222294,Management,Big City
100000207,Male,Single,43,High School,112878,Skilled Employee,Small City
100000208,Male,Single,26,Unknown,103411,Skilled Employee,Big City
100000209,Male,Married,21,High School,112868,Unemployed,Small City
100000210,Male,Single,55,High School,157940,Skilled Employee,Big City
100000211,Male,Single,33,High School,115835,Skilled Employee,Big City
100000212,Female,Married,45,University,109807,Unemployed,Small City
100000213,Male,Single,50,High School,150699,Skilled Employee,Mid-sized City
100000214,Male,Single,66,University,178967,Management,Small City
100000215,Male,Single,51,High School,132767,Skilled Employee,Small City
100000216,Female,Married,39,University,86152,Unemployed,Small City
100000217,Male,Single,31,Unknown,114528,Skilled Employee,Big City
100000218,Male,Single,23,Unknown,133912,Skilled Employee,Mid-sized City
100000219,Male,Married,24,High School,81210,Unemployed,Small City
100000220,Female,Married,64,Graduate School,131242,Skilled Employee,Small City
100000221,Male,Married,26,High School,68804,Unemployed,Small City
100000222,Female,Married,23,High School,96961,Skilled Employee,Mid-sized City
100000223,Male,Single,30,Unknown,90719,Skilled Employee,Big City
100000224,Male,Single,32,Unknown,114116,Skilled Employee,Mid-sized City
100000225,Male,Single,30,Unknown,128639,Skilled Employee,Mid-sized City
100000226,Male,Single,27,Unknown,106623,Skilled Employee,Mid-sized City
100000227,Male,Single,27,Unknown,236264,Skilled Employee,Mid-sized City
100000228,Male,Single,53,High School,207783,Management,Mid-sized City
100000229,Male,Single,22,Unknown,91739,Skilled Employee,Mid-sized City
100000230,Male,Single,22,Unknown,107780,Skilled Employee,Big City
100000231,Male,Single,26,Unknown,139157,Skilled Employee,Big City
100000232,Male,Single,51,High School,121751,Unemployed,Small City
100000233,Male,Single,35,High School,121974,Skilled Employee,Small City
100000234,Male,Married,25,High School,70320,Unemployed,Small City
100000235,Male,Single,42,High School,78327,Unemployed,Small City
100000236,Male,Single,30,Unknown,131433,Management,Small City
100000237,Male,Single,23,Unknown,167076,Unemployed,Big City
100000238,Male,Married,61,University,130788,Unemployed,Small City
100000239,Female,Married,35,High School,107408,Skilled Employee,Mid-sized City
100000240,Male,Single,39,High School,115323,Skilled Employee,Mid-sized City
100000241,Female,Married,29,High School,99012,Skilled Employee,Small City
100000242,Male,Single,51,High School,115996,Skilled Employee,Mid-sized City
100000243,Male,Single,24,Unknown,123353,Skilled Employee,Mid-sized City
100000244,Female,Married,27,High School,100008,Skilled Employee,Small City
100000245,Female,Married,35,High School,125105,Unemployed,Small City
100000246,Male,Single,25,Unknown,92020,Skilled Employee,Big City
100000247,Male,Single,52,High School,108365,Skilled Employee,Big City
100000248,Male,Single,35,High School,112979,Skilled Employee,Small City
100000249,Male,Single,26,Unknown,117221,Skilled Employee,Mid-sized City
100000250,Female,Married,22,High School,88800,Skilled Employee,Big City
100000251,Female,Married,39,University,115099,Unemployed,Small City
100000252,Female,Married,46,University,113399,Unemployed,Small City
100000253,Female,Married,24,High School,115879,Skilled Employee,Mid-sized City
100000254,Male,Single,35,High School,141270,Skilled Employee,Big City
100000255,Male,Single,24,Unknown,107633,Skilled Employee,Mid-sized City
100000256,Male,Single,27,Unknown,131751,Unemployed,Small City
100000257,Male,Single,35,High School,83687,Unemployed,Small City
100000258,Male,Married,29,High School,106828,Skilled Employee,Big City
100000259,Female,Married,23,High School,135537,Skilled Employee,Mid-sized City
100000260,Female,Married,57,University,107142,Unemployed,Small City
100000261,Male,Single,27,Unknown,97446,Skilled Employee,Mid-sized City
100000262,Female,Married,55,University,126357,Skilled Employee,Big City
100000263,Male,Single,36,High School,169617,Management,Mid-sized City
100000264,Female,Married,57,University,108945,Unemployed,Small City
100000265,Male,Single,32,Unknown,67345,Unemployed,Small City
100000266,Male,Single,37,High School,106215,Skilled Employee,Small City
100000267,Male,Single,36,High School,149237,Skilled Employee,Small City
100000268,Female,Married,38,High School,112124,Skilled Employee,Small City
100000269,Male,Married,45,University,215150,Management,Big City
100000270,Male,Single,25,Unknown,89534,Skilled Employee,Mid-sized City
100000271,Male,Single,32,Unknown,111082,Skilled Employee,Big City
100000272,Female,Married,37,High School,137069,Skilled Employee,Mid-sized City
100000273,Male,Single,36,High School,244541,Management,Big City
100000274,Male,Single,28,Unknown,120712,Skilled Employee,Mid-sized City
100000275,Male,Married,34,High School,175367,Unemployed,Small City
100000276,Male,Single,32,Unknown,111418,Skilled Employee,Mid-sized City
100000277,Female,Married,26,High School,110913,Skilled Employee,Small City
100000278,Male,Married,49,University,84267,Unemployed,Small City
100000279,Female,Married,32,High School,136886,Skilled Employee,Big City
100000280,Male,Single,29,Unknown,144884,Management,Big City
100000281,Male,Single,23,Unknown,151180,Skilled Employee,Mid-sized City
100000282,Male,Single,50,High School,114997,Skilled Employee,Mid-sized City
100000283,Male,Single,49,High School,100961,Unemployed,Small City
100000284,Male,Single,63,University,124849,Skilled Employee,Big City
100000285,Male,Married,37,High School,152308,Skilled Employee,Big City
100000286,Female,Married,35,High School,167945,Unemployed,Mid-sized City
100000287,Male,Single,26,Unknown,126706,Skilled Employee,Big City
100000288,Male,Single,31,Unknown,210017,Management,Big City
100000289,Female,Married,49,University,125665,Skilled Employee,Mid-sized City
100000290,Male,Married,48,University,111184,Skilled Employee,Mid-sized City
100000291,Male,Married,26,High School,94134,Skilled Employee,Small City
100000292,Male,Married,28,High School,214620,Management,Mid-sized City
100000293,Female,Married,44,University,193816,Management,Mid-sized City
100000294,Male,Single,56,High School,168714,Skilled Employee,Mid-sized City
100000295,Male,Married,46,University,202997,Management,Mid-sized City
100000296,Female,Married,26,High School,192451,Skilled Employee,Big City
100000297,Female,Married,20,High School,127928,Skilled Employee,Big City
100000298,Male,Single,45,High School,78253,Unemployed,Small City
100000299,Male,Single,43,High School,118446,Skilled Employee,Mid-sized City
100000300,Male,Single,32,Unknown,161379,Skilled Employee,Big City
100000301,Female,Married,54,University,56622,Unemployed,Small City
100000302,Female,Married,42,University,146117,Skilled Employee,Mid-sized City
100000303,Male,Single,37,High School,90418,Unemployed,Small City
100000304,Male,Single,49,High School,109053,Skilled Employee,Small City
100000305,Male,Single,44,High School,219319,Skilled Employee,Small City
100000306,Male,Married,33,High School,144701,Skilled Employee,Mid-sized City
100000307,Female,Married,24,High School,102425,Unemployed,Small City
100000308,Male,Married,33,High School,79867,Unemployed,Small City
100000309,Female,Married,24,High School,107114,Skilled Employee,Big City
100000310,Male,Married,22,High School,62263,Unemployed,Small City
100000311,Male,Single,40,High School,92567,Unemployed,Small City
100000312,Male,Single,25,Unknown,146349,Skilled Employee,Small City
100000313,Female,Married,26,High School,141825,Skilled Employee,Mid-sized City
100000314,Male,Married,25,High School,68582,Unemployed,Small City
100000315,Male,Single,29,Unknown,85476,Unemployed,Small City
100000316,Male,Single,31,Unknown,111091,Skilled Employee,Big City
100000317,Male,Single,38,High School,67110,Unemployed,Small City
100000318,Female,Married,48,University,126154,Unemployed,Small City
100000319,Male,Single,32,Unknown,92257,Skilled Employee,Big City
100000320,Female,Married,27,High School,93605,Unemployed,Small City
100000321,Male,Married,28,High School,165190,Management,Small City
100000322,Male,Married,32,High School,107195,Skilled Employee,Small City
100000323,Male,Single,34,High School,145059,Management,Small City
100000324,Male,Single,28,Unknown,148363,Skilled Employee,Small City
100000325,Female,Married,36,High School,105681,Skilled Employee,Big City
100000326,Male,Single,39,High School,93732,Unemployed,Small City
100000327,Male,Single,49,High School,154778,Skilled Employee,Big City
100000328,Female,Married,34,High School,149356,Skilled Employee,Big City
100000329,Male,Single,31,Unknown,145670,Skilled Employee,Mid-sized City
100000330,Male,Single,28,Unknown,101589,Skilled Employee,Big City
100000331,Male,Single,75,University,213333,Management,Mid-sized City
100000332,Female,Married,30,High School,122420,Skilled Employee,Small City
100000333,Female,Married,24,High School,209856,Management,Mid-sized City
100000334,Female,Married,24,High School,181003,Unemployed,Small City
100000335,Male,Single,23,Unknown,117804,Skilled Employee,Mid-sized City
100000336,Male,Married,44,University,160650,Management,Mid-sized City
100000337,Female,Married,23,High School,84611,Unemployed,Small City
100000338,Female,Married,24,High School,98479,Skilled Employee,Big City
100000339,Male,Single,28,Unknown,122359,Skilled Employee,Big City
100000340,Male,Married,31,High School,81394,Unemployed,Small City
100000341,Female,Married,24,High School,150372,Skilled Employee,Mid-sized City
100000342,Female,Married,26,High School,92385,Unemployed,Small City
100000343,Male,Married,25,High School,149851,Skilled Employee,Big City
100000344,Male,Single,33,High School,167939,Management,Mid-sized City
100000345,Male,Single,37,High School,115426,Unemployed,Small City
100000346,Female,Married,43,University,85402,Unemployed,Small City
100000347,Male,Single,23,Unknown,95815,Skilled Employee,Big City
100000348,Female,Married,23,High School,97518,Unemployed,Small City
100000349,Male,Single,34,High School,87355,Unemployed,Small City
100000350,Male,Single,32,Unknown,145933,Skilled Employee,Mid-sized City
100000351,Female,Married,23,High School,97307,Skilled Employee,Small City
100000352,Female,Married,29,High School,108434,Skilled Employee,Big City
100000353,Male,Single,38,High School,151312,Management,Mid-sized City
100000354,Male,Single,28,Unknown,141847,Skilled Employee,Mid-sized City
100000355,Male,Single,46,High School,130675,Skilled Employee,Big City
100000356,Male,Single,23,Unknown,69309,Unemployed,Small City
100000357,Male,Single,49,High School,121466,Skilled Employee,Big City
100000358,Male,Single,26,Unknown,153586,Management,Big City
100000359,Male,Married,28,High School,92849,Skilled Employee,Small City
100000360,Female,Married,23,High School,108539,Skilled Employee,Big City
100000361,Male,Single,61,University,129556,Skilled Employee,Big City
100000362,Male,Single,37,High School,170146,Management,Small City
100000363,Female,Married,36,High School,135383,Skilled Employee,Mid-sized City
100000364,Male,Married,21,High School,96769,Skilled Employee,Big City
100000365,Male,Single,25,Unknown,43684,Unemployed,Small City
100000366,Male,Single,36,High School,103521,Skilled Employee,Small City
100000367,Male,Single,27,Unknown,118499,Skilled Employee,Mid-sized City
100000368,Female,Married,22,High School,119684,Skilled Employee,Big City
100000369,Male,Single,42,High School,126586,Skilled Employee,Mid-sized City
100000370,Female,Married,40,University,136812,Skilled Employee,Big City
100000371,Male,Single,36,High School,118277,Skilled Employee,Mid-sized City
100000372,Male,Single,33,High School,144597,Skilled Employee,Mid-sized City
100000373,Female,Married,23,High School,106043,Skilled Employee,Small City
100000374,Male,Single,63,University,272314,Management,Big City
100000375,Female,Married,60,University,309364,Management,Big City
100000376,Female,Married,37,High School,170386,Skilled Employee,Mid-sized City
100000377,Male,Married,34,High School,112458,Skilled Employee,Small City
100000378,Male,Single,36,High School,96840,Skilled Employee,Mid-sized City
100000379,Male,Single,57,University,281923,Management,Mid-sized City
100000380,Female,Married,52,University,95551,Unemployed,Small City
100000381,Male,Single,39,High School,112347,Skilled Employee,Big City
100000382,Female,Married,38,High School,260977,Management,Big City
100000383,Female,Married,25,High School,99354,Skilled Employee,Small City
100000384,Male,Single,26,Unknown,111509,Skilled Employee,Big City
100000385,Male,Single,26,Unknown,105252,Unemployed,Small City
100000386,Female,Married,25,High School,108522,Skilled Employee,Small City
100000387,Female,Married,21,High School,94655,Skilled Employee,Mid-sized City
100000388,Male,Single,40,High School,201699,Management,Mid-sized City
100000389,Male,Single,27,Unknown,139868,Skilled Employee,Big City
100000390,Female,Married,27,High School,102543,Skilled Employee,Mid-sized City
100000391,Male,Married,30,High School,134467,Management,Big City
100000392,Female,Married,19,High School,111187,Unemployed,Small City
100000393,Male,Single,39,High School,152302,Management,Mid-sized City
100000394,Female,Married,31,High School,110610,Skilled Employee,Big City
100000395,Male,Single,31,Unknown,137827,Management,Big City
100000396,Male,Single,32,Unknown,220923,Skilled Employee,Big City
100000397,Female,Married,55,University,165717,Management,Big City
100000398,Male,Married,46,University,122299,Skilled Employee,Small City
100000399,Male,Married,46,University,120499,Skilled Employee,Small City
100000400,Female,Married,43,University,126449,Unemployed,Small City
100000401,Male,Married,39,High School,108315,Skilled Employee,Big City
100000402,Male,Married,28,High School,112515,Skilled Employee,Mid-sized City
100000403,Male,Single,27,Unknown,164559,Skilled Employee,Mid-sized City
100000404,Male,Single,27,Unknown,59238,Unemployed,Small City
100000405,Male,Single,43,High School,131133,Skilled Employee,Small City
100000406,Male,Married,22,High School,109188,Skilled Employee,Small City
100000407,Male,Single,43,High School,115393,Skilled Employee,Mid-sized City
100000408,Male,Married,27,High School,94711,Skilled Employee,Big City
100000409,Male,Married,26,High School,171860,Management,Small City
100000410,Male,Married,28,High School,139414,Skilled Employee,Big City
100000411,Female,Married,20,High School,110931,Skilled Employee,Mid-sized City
100000412,Male,Single,35,High School,187549,Management,Big City
100000413,Male,Single,42,High School,145508,Management,Small City
100000414,Male,Single,40,High School,104240,Unemployed,Small City
100000415,Female,Married,35,High School,108272,Skilled Employee,Mid-sized City
100000416,Male,Single,35,High School,144004,Skilled Employee,Big City
100000417,Male,Single,33,High School,81083,Unemployed,Small City
100000418,Female,Married,23,High School,166763,Skilled Employee,Mid-sized City
100000419,Female,Married,31,High School,175530,Management,Mid-sized City
100000420,Female,Married,33,High School,112422,Skilled Employee,Mid-sized City
100000421,Female,Married,20,High School,154134,Skilled Employee,Big City
100000422,Male,Single,30,Unknown,112401,Skilled Employee,Mid-sized City
100000423,Male,Single,47,High School,85690,Unemployed,Small City
100000424,Male,Single,34,High School,145896,Management,Big City
100000425,Female,Married,25,High School,122552,Skilled Employee,Big City
100000426,Male,Married,21,High School,115494,Skilled Employee,Big City
100000427,Male,Single,29,Unknown,109467,Skilled Employee,Small City
100000428,Male,Single,46,High School,148226,Skilled Employee,Big City
100000429,Male,Single,20,Unknown,88559,Skilled Employee,Mid-sized City
100000430,Female,Married,55,University,62393,Unemployed,Small City
100000431,Male,Single,74,University,122133,Unemployed,Small City
100000432,Male,Single,29,Unknown,230883,Management,Big City
100000433,Male,Single,36,High School,136689,Management,Big City
100000434,Male,Married,33,High School,109145,Skilled Employee,Small City
100000435,Male,Single,25,Unknown,100449,Skilled Employee,Big City
100000436,Male,Married,25,High School,106253,Skilled Employee,Small City
100000437,Male,Married,23,High School,84747,Unemployed,Small City
100000438,Female,Married,37,High School,149465,Skilled Employee,Mid-sized City
100000439,Male,Single,65,University,84435,Unemployed,Small City
100000440,Female,Married,26,High School,51681,Unemployed,Small City
100000441,Male,Single,39,High School,139198,Management,Mid-sized City
100000442,Female,Married,30,High School,106577,Skilled Employee,Mid-sized City
100000443,Male,Single,29,Unknown,117372,Skilled Employee,Big City
100000444,Male,Single,41,High School,69609,Unemployed,Small City
100000445,Female,Married,30,High School,178947,Management,Big City
100000446,Female,Married,41,University,81743,Unemployed,Small City
100000447,Female,Married,34,High School,111900,Skilled Employee,Mid-sized City
100000448,Male,Single,35,High School,121650,Skilled Employee,Small City
100000449,Female,Married,55,University,172639,Management,Big City
100000450,Male,Married,61,University,175740,Skilled Employee,Mid-sized City
100000451,Male,Single,30,Unknown,220050,Management,Big City
100000452,Female,Married,29,High School,95200,Skilled Employee,Mid-sized City
100000453,Male,Single,34,High School,113609,Skilled Employee,Mid-sized City
100000454,Male,Single,35,High School,143552,Management,Big City
100000455,Male,Single,31,Unknown,130973,Skilled Employee,Big City
100000456,Female,Married,29,High School,145946,Management,Big City
100000457,Male,Single,36,High School,126206,Skilled Employee,Mid-sized City
100000458,Male,Single,35,High School,120426,Skilled Employee,Small City
100000459,Female,Married,27,High School,91925,Skilled Employee,Big City
